document	label
고등학생 방송작품작 수준이네요 저예산으로 작품 만드는 정신 좋습니다. 스릴감 제로... 작품 구성 제로... 무엇을 전달할려고 하는지...	0
정말 할말이 없다,,,	0
추억속의 어린시절에 대한 회상 그리고 또 다른 세상으로의 여행준비	1
은근히 재밌었음 ㅎㅎ	1
초반엔 괜찮고 뭐고 다운 받았다가 평보고 안보고 지움	0
레슬리 선생님 나오셨으니..일단 굿샷~!	1
킬링타임용도 못되는 영화... 영화장르는 판타지 액션으로 보이지만 어설픈 영화다. 왜? 여주인공은 결정적 순간 갑자기 란제리 패션으로 등장해 적과 상대하는지 모르겠고, 한술더떠 전혀 인과관계없이 갑자기 삼지창이란 아날로그 액션으로 적을 제압하는지?	0
기대없이 봤다가 완전 빠졌음	1
신선한 소재..정말 재미있게 푹 빠져서 봤었음 ㅎㅎ	1
난 원래 기린(이광수) 싫어한다 크크크.... 능력자가 좋다	0
요즘이거보는맛에 산다	1
집으로 돌아간다 집으로..	1
영화 전체가 총체적 난국	0
이영화를 까는애들이 이해가 안간다. 싸움신은 좀 그랫지만; 요즘나오는 흔하디 흔한 영화보다 훨씬 낫다 정말 오랜만에 수작을 본듯!	1
내 인생에서 제일 소중하다고 생각하는 것 들은 내가 죽어도 소중할까 죽음과 죽기전에 소중한것들을 지키는 법에 대해 생각하게 하는 영화 .	1
그린그래스 감독의 색깔이 확 나타나는 매우 리얼한 연출	1
엄포스.....대박이다ㅋㅋㅋㅋㅋㅋ 부활보느라 공부도 못하겠넼ㅋㅋ	1
꽤 괜찮았어. 영화를 영화로 봐야지 한국비하니 뭐니 하는 놈은 뇌가 없는거지.	1
빠르지도 느리지도 않은 이야기에 기타와음악이 날 붙잡는구나.	1
중간계 6부작의 엔딩 무대를 화려하게 꾸며줬다.	1
동생이랑 보러갔는데 5살짜리 동생도 재미 없다고...	0
엄마돌아가시기전에같이 영화관에서봣던영화♥다시봐도재밋당	1
전투기 액션 영화도 지루하고 심심하게 만들 수 있다는 걸 보여주는 사례	0
쫌 웃겼다	1
문명게임 한판한듯한 느낌	1
식스센스 안봤음 볼만 했으려나 독립영화라도 보는 사람 재미 좀 생각 줬음 좋겠다.	0
전문 트레이닝이나 경험조차도 없는 아이들에게 더빙을 시킨건 큰 실수라고 생각합니다. 7살이면 아직 발성이나 낭독하기엔 어린 나이인데 74분짜리 영화에서 주연 연기를 하는게 얼마나 힘들었을까요.	0
1점도 아깝다 진짜 돈줄테니 보라고해도 안봐 시간아까워	0
진심 이쁘다 ㅋㅋ 굿굿굿	1
군복이 어울리는 자가 없다.	0
훈훈합니다. 꼭 보세요	1
와~정윤희 넘 이쁘고 당룡 멋찌다	1
재미있게 잘봤습니다.	1
엄마... 생각나는 영화.	1
남자 주인공이 범인...여러분의 시간은 소중하니까요	0
답답하고 열불터지는 영화. 보다가 끄려고 한게 몇번인지 모르겠다. 시간 완전 버렸음. 이렇게 산만하고 복장터지는 영화는 처음이다. 내 생애 최악의 영화. 아, 2006년 본 '구세주 ' 다음으로 최악임^^	0
재미도없고 감동도없고 웬 일본새;끼들이나와	0
형편없는 요소만 모아 만든 영화.	0
어휴..	0
애 딸린 발정난 유부년이 왠 사진찍는 놈팽이하고 질싸얼싸까지 함. 불륜을 미화한것도 모잘라 마지막에는 자식들한테 훈장질까지 함. 개역겨웠음 골빈 김치년들이 사랑이니 뭐니 감성팔이 하는 걸 보니 씹소오름	0
무슨소리인지 모르겠다 -_- 주연배우들.. 여기 왜 나왔을까..	0
스토리, 매력적인 캐릭터, 디테일까지 모두 좋.아.요^-^	1
독립영화관을 통해서 봤는데, 참 풋풋하고 아름다웠습니다. 청춘이라는 시기에 경험하게 되는 사랑과 어우러진 자연, 음악, 어렸던 고아성씨의 성숙된 연기와 제임스페이지의 자연스럽고 풋풋한 연기에 감동....마치..제가 주인공이 된듯한 기분을 느꼈네요.	1
이야기 흐름이 산만하고 유치함	0
한번본 영화를 다시보고 싶다는 생각이 이렇게나 많이 드는건 아마 처음인것같다. 그만큼 좋은 영화^^	1
2편이 더 잼남 ㅋ	1
내가 아더와 미니모이 왕 팬이어서 백점~~~~~	1
알파치노 개 젊네ㅋㅋㅋ	1
뭐야, 평점하고 영화하고 다르잖아!	1
상식적으로 이해되는 범주내에서 시나리오가 진행되길 간절히 바랍니다!완전 최악의 드라마 입니다....작가분 상상력이 참..ㅜ?ㅜ	0
전쟁의 참혹함이 느껴지는 명작	1
분노의질주 7편에 사람들이 오바하길래 함 봤다..후속편 안봐도 되듯	0
와 아무것도 모르는 백지 상태로 본다면 기겁할 만한 반전 굿	1
더럽게 잼없네 쓰레기ㅉㅉ 1점준것중 한국영화는 10점주는 M창있네	0
숟가락 들 힘만 있으면 ㅋㅋㅋ 영화는 굳	1
지금까지 본 홍감독 영화 중 제일 재미없네요. 배우들 연기도 자연스럽지 않고.	0
제시카 알바 좋아요	1
난 나름대로 재미있었따	1
킴베싱어와 레이리요타가 거위밥으로 전락한게 좀 쓸쓸허네	0
안보면 후회 정말 재밌죠.마무리도 좋았던 드라마	1
원작에 대한 심각한 모독	0
경상도는 우리나라가 아닌가보네..사투리가 무슨말인지 알아들을수가 없으니..내내 보면서 짜증만..	0
장난하냐. 스토리가 개차반이면 액션이라도 받쳐주던지	0
good good~ 일본 영화를 다시 보게 되네요^^	1
그냥 재밌기만한영화 그이상 그이하도 아닌	0
연출과 각본도 좋고, ost가 심금을 자극하는 2012년 상반기 최고의 드라마.	1
깔끔한 코믹 첩보영화	1
처음엔 흥미진진하다가 1시간정도 됐을때 꺼버렸다. 금의위 보고 무협에꽂혀서 이거봤다가 흐음......	0
정말 최고의 영화, 찰리채플린의 명연기에 빠지다. 배꼽빠질뻔!	1
설정은 억지스럽고 내용은 유치하고 그렇다고 애들이 보기엔 잔인하다	0
bbbb 그냥 다 재밌음	1
미친아내와 미친남편 그리고 미친소녀	0
소재도 좋고 캐스팅, 감독도 유명해서 봤으나 널리 알려진 삼국지의 적벽대전을 졸작으로 승화시킴. 각색을 해도 너무 구리게 했음. 기대가 컸던 터라 실망이 너무 큼	0
예전부터 핑크색을 굉장히 좋아했는데 이 영화를 보고 더욱 더 좋아졌네요. 자신을 잃지 않고 사람들의 편견을 넘어 늘 노력하고 미모와 지식과 우정과 사랑 모든 것을 얻은 엘이 부러우면서 늘 밝고 당당한게 너무나도 사랑스러워요.	1
그냥 말이 필요없음....황당함..	0
이 영화가 왜 일본에서 흥행이 70만관객밖에 안되지..아주 재밌는데..감동과여운도 있고..	1
정말 재밌어요 ^^ 앞으로도 좋은 작품 부탁드려요~~.	1
영화를 보다보면 자연스레 외계생명체가 어디서왔으며 누구일까.. 에 촛점이 맞춰지는게 아닌 앞으로 사람들이 어떻게 변할까? 에 촛점이 맞춰진다. 즉, 이 영화는 감상 포인트가 다르다. sf가 아니라 심리 스릴러가 맞다.	1
군데 군데 호기심을 자극시키는 개성있는 연출이긴하지만 너무 지루하다... 영화에 공 들인건 인정하지만 긴 상영시간에 꾹 참고보기가 너무 힘들다..	0
스토리도 재밌고..박해일 연기진짜 잘하네요...명작인듯	1
이런 영화는 왜 만들었는지?	0
탐 크루즈나 영화나 개 끌린다... 빅 재미는 아닌데 묘한 매력이 쩐다	1
리암니슨 짱 멋있다 ㅠㅠㅠ	1
완전 젬씀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제크로무 받음ㅋㅋㅋㅋㅋㅋ	1
국제 정치의 구조나 미국 일변도의 정세에 대해서 잘 비판한 영화다.	1
고난과 역경을 뚫고 나가는 그램리탄광밴드!	1
97년도에 이딴영화가....타이타닉나오던해에.....	0
시간이아깝네.쩝 대사도거의없고..	0
2.22 가보자ㅋㅋㅋ	0
박신혜 봉태규 다 연기 진짜 잘하네..ㅋㅋ 폭풍감동 ㅠ	1
내가 ㅂㅅ인가 이런게왜? 7점이나되	0
재미있음 오랜만에봄	1
별주는게 아깝다	0
아무리 재미가 없어도 재미 없다는 말을 내뱉는 순간 영화 볼줄 모르는 무식한 인간 취급을 받게 된다는 임권택 영화 .... 도대체 어느 부분에서 감동하고 어느 부분에서 공감해야 하는지조차 모를 정도로 엉성한 영화에 온갖 과대 포장만 잔뜩 붙여놓은 영화	0
한국 무협의 페러다임을 제시함	1
우리가 흔히 말하는 영화라고 하기엔 너무허접하고...그렇다고 에로비디오라고 하기엔 너무 약하다. 도대체 어떤팬을 만족시키려지건 모르겠다....차라리 더 노출하고 섹스씬도 많이넣던가. 그게 아니면 스토리에 좀더 신경을 쓰던가	0
진짜 이남자는 찌질한 연기는 갑이야ㅋㅋㅋㅋ기분은 더러웠지만 세상사가 진짜 다 그런게 아닐까 하는 생각이 들었다..ㅠㅠ	1
리얼리티면에서 몰입도 가히 최고!	1
난잡하다....;;	0
어렸을때 무지 재미있게 봤던, 기억이 나는.. 영화예요 ^^	1
죄송하지만 볼생각이없고..재미도없어요	0
아주 어렸을 때 봤던 기억이 생각난다...	1
정말 심심하다. 잭니콜슨 때문에 봤다.	0
그냥망해버려	0
이런걸 유작으로 남기진말지	0
도로씬은 기억에 남네요. 깜깜짝짝이야...	0
올 때도 울고 갈 때도 우는 곳	0
"""""""아니!!! 영화속의 저 인간이 웨서방이 맞단 말인가?""""내눈을 의심할 뻔 했다."""	0
재밌다. SF물 좋아한다면 당연히 추천. 너무 저평가 되서 안타깝다. 점수 맞추기위해 10점 준다.	1
... 그냥	0
<카모메 식당>과 <안경>을 섞어놓은 아류작. 그 이상 그 이하도 아니다.	0
영화는 그저 허무했고 예고편은 사기였다 그런걸 반전이라고 하는 건가?	0
티비로 보니 실소만 나온다 영화관이었으면 평점이 높을텐데	0
아니 이딴걸...영화채널에선 왜자꾸 틀어주지...암걸리게할려고 작정했나...	0
OST가 너무 훌륭하다. 영화도 정말 재밌고	1
발더빙 OUT!	0
난 좋았는데요..... 괜찮았어요	1
진짜 재밌었는데... 30년이나 되었네 벌써...?	1
뒤늦게 알게된 수작.. 지금보니 감독, 배우들도 흥행메이커가 되었다는.. 남상미 빼고...	1
많은 생각을 할 수 있는 영화~ 시간여행류의 스토리를 좋아하는 사람이라면 빠트릴 수 없는 영화	1
휴,,, 다운받아 봤으면 돈 날릴뻔했네,,	0
역시 데뷔작부터 보통이 아니었다..	1
스트릿라이더 영화라면 퀵실버와 프리미엄 러쉬공식대회 영화라면 뚜르드프랑스...모두 본후 자전거를 타러나가고싶어지는 영화들	1
이감독이름 기억했다가 개봉하는영화중 이감독영화있으면 보지말아야것다. 고양이가 사람보다 중요한거같다.	0
야이. . 쓰레기같은영화 그냥 야동을보겠다 캐스팅은 역활에맞게잘한거같은데 내용이 어휴. .	0
진심 리뷰처음다는데ㅋㅋㅋ대박ㅋㅋ병원에서 여자환자연기보고 소오름ㅋㅋ오징어ㅋㅋㅋㅋ아대박굿굿꼭보셈두번보셈	1
정말 재밌게 본 영화^^~	1
그냥 최고임.................	1
또다른 이준의 모습 거기까지...	0
재미없어요~ㅠ	0
알바들아 그렇게살지마	0
너무 재밌어용ㅠㅠㅠ빨리 설난이 수백향공주가되는날이오긴ㅠㅠ	1
북한을 대단한 나라로 묘사했네.ㅋㅋ	0
작가가 중학교를 체 졸업하지 못한 것 같은 드라마. 중2병이 보면 재미있을수도 있겠다 싶은 드라마.	0
적응안됀다..	0
가슴이 살짝 아리면서도 훈훈해지는... 참 괜찮은 로맨스.	1
음괜찮은영화짜릿합니다그런데검색어를뭐라고쳐야하죠?	1
이건 주인공들의 연기와 연출과 영상과 다 좋았는데 마지막회가서 너무 어거지로 후딱 끝내는것 같더라. 그게 아쉬워... 이야기가 조금더 길었으면 어땠을까 싶더라.	1
0점 이 없는게 아쉽다 정말	0
정말 좋은 영화이다 음악을 사랑하는 사람이라면 한번 보도록하자	1
능청맞은 송강호의 코믹연기, 김수로 송강호의 멋진 액션, 코믹과 삶의 애환이 잘 버무려진 시나리오, 김지운 감독의 훌륭한 연출과 절묘한 카메라웤~~~ 2014년인 지금봐도 잘 만든 작품.	1
진짜로 재미없네..	0
커피 마시면서 혼자 몰입해 즐기기 딱 좋은 스릴러물	1
꼭 메세지를 원할필요가있을까우리는 영화가 보여주는 아름다움과 그것으로 인한 짜릿함으로 멋진 133분을 보냈다	1
장근석 너무 멋있어ㅠ 기다리는거 너무 힘들어ㅠ	1
저당시 종려시 이쁘다..	0
최악이다 밑에 1점주는 색귀 대체몰까 라고 쓴 색귀 너 알바니?	0
브랜던리.. 쩐다 라는 말만나옴	1
한 7.5점 짜리 영화 4.64길래 10점쏨~ ㅋㅋ	1
이게 진정 정통 스파이영화라고 생각됨	1
나원참... 공포, 스릴러 라고 해서 봤건만... 이건 코믹에 가까움;;	0
주인공 한단비역의 이다희보다 한원미역의 신주아에게,더 눈이 가니 원...신주아 눈,코,입이 시원시원하니,딱 내타입일세~내가 수퍼주니어 은혁이라면,미성년자 아이유보다,신주아에게 대쉬한다.아니면,고두림도 괜찮잖아?체형도 좀 많이 특별(?)하고...(웃음)	0
군대는 개판이고 미국은 나쁜놈이고 국회의원은 암덩어리고 의사인 엄마는 이기적이고 애는 말안듣고 장혁은 무적이고 감독은 감성팔이고 스토리는 고전소설.니네는 백신이 없냐? 난 재미가 없네	0
굿굿굿!베리굿!개인적으로 별그대보다 잼!꿀잼 졸잼	1
뭐야 이거 좀비야 죽어라 안OO....	0
우리나라 영화감독은 감성팔이 영화만 잘만들면 돈벌기 쉽겠네	0
완전재밋게봅니당잉여공주몰랏을땐그려러니햇는데송재림때문에봣엇는데캐릭터들도좋앗구안봣으면내가후회햇을만한작품??이작품이나왓을때내가왜안봣는지모르겟다취업준비생역할의마음을잘헤아려서이시대의취준생을잘표현한것같다어쨋든송재림나와서완전조앗음♥♥♥다음에도이런작품이나왓으면!!!	1
왜 어렸을땐 티비에 나오는게 싫었을까? 그때 내가 이 영화를 제대로 봤더라면	1
이영화가 너무 무섭다...보다가 소름이..끼친다	0
어이없게.. 오현경씨가 말하는게 나 미스코리아나갔던여자야~ 이거젆아요? 유행어가 근데 타짜 1김해수씨가 나 이대나온여자야 라고했는데 따라했네요 ㅋㅋㅋㅋ	0
홀딱빠짐	1
스릴러?긴장감은 전혀없는 최악의 영화 늙은 멕라이언 몸매도 못봐주것더구만	0
보고나서 멀미와 두통이 남는영화	0
89년...크리스토퍼 램버트의 바람이 불었따..비디오는 하이랜더..극장에선 시실리안.	1
웬만하면 보지마세요. 여태껏 본 시걸의 영화중 최악입니다	0
헐리웃판은 보다 말앗지만 이건 끝까지 봣다	1
ㅉㅉ말이 안나온다..ㅡ.,ㅡ	1
말도안돼는 브루스의 연기변신과 엉성한 시나리오는 꽝이다	0
예전에 본 건데, 뭐 이정도 라는 기억만 난다.	0
평이좋아보러갔는데..발상은좋으나스토리가꽝이다. 영화보던어린이도지겨워나가던데..	0
이런 세월이 있었기에 오늘날의 임권택이 만들어졌다	0
진주만보다 더 재밌다..	1
영화마지막자막올라갈때엔지장면등을넣으니깐영화가더돋보이게만든다굿	1
시시하다.	0
성지루 호구 연기 최고다!!	1
차라리 4편에서 죽었더라면 행복했을,그 스모모모형사님.정말 불쌍하기까지하다.	0
긴장도 그저그렇구, 흥미롭지도 않은 하우스 스토리.	0
서정적이고 정말열정적인 영회입니다	1
세상에는 넘지 말아야할 선들이 있다..도로의 중앙선처럼...방향을 잃고 달리는 차처럼 사고났을땐 이미 늦었다...서로 상처만 남는것을..	0
낚시.. 어이없네요..	0
라바처럼 재미난데요 ㅎㅎㅎ	1
용 갈때 이 영화도 같이 가져가라..쓰레기는 버리고 가야지..	0
재미있고 없고를 떠나서... 이건 불쾌감주는 영화던데... 관객모독	0
보긴본것 같은데 딱히 기억에는 안남네요 TV서 봤구나 주연도 그닥 그렇고 ㅠㅠㅠ	0
삶에 있어 감사함을 느끼고 등장인물의 마음을 다 느낄 수 있었던 영화윤리적인 문제로 초반부분은 의문점을 풀었으나 결국은 풀리는 깊은 감동과 여운을 준 영화. 보는 내내 눈물 흘렸지만 마음이 따뜻해졌다.	1
너무 좋았던 영화 좋아용	1
기대 안하고 봤다가 대박 났다. 긴장감 최고, 몰입도 최고!	1
어릴때 봤던 추억의영화!	1
차별은 사람이만들어내는게 아니라 상황 간의 충돌이라는 교훈. 한인진상 아줌마 공감	1
프랑스 영화는 역시 너무 서정적이야.. 뭔가 파격이 필요할 텐데..	1
감득구의 인생 그리고 영화..	1
반전의반전 재밋게봤음!	1
한줄분석이 영화를 가장 좋아하는 그룹은 20대 여자입니다....	0
정말 숨죽이고 봤습니다. 대단한 영화이군요.. 사람은 쉽고 생각하고 싶은것만 생각해서는 안되요..그런 것만 생각하다보면 정말 보기 좋지 않은 것도 때로는꼭 필요한것이기에 품고 가야 하는 법이지요..!	1
아름다운 만돌린 선율만으로도 볼만한 가치가 있다	1
꿈과 현실 사이의 괴리에 좌절하는 청춘들의 모습을 담백하게 담아냈다. 야구를 계속하는 것만이 성공은 아니다. 그들이 어린 나이에 얻은 경험의 가치는 무한대이다. 경쟁의 틈바구니에서 살아남는 것만이 성공이 아님을 이 아이들이 빨리 깨우쳤으면 좋겠다.	1
이건 똥쓰레기 영화는 드래곤볼 영화도 아니다 ㅡㅡ 드래곤볼 gt도 이것보단 9999억배 더 재미있다 ㅡㅡ 이런 괴작+졸작+망작영화는 절~~~때로 안보는걸 추천함	0
봉준호의 조용한 클라이막스.	1
이런건 100% 리얼이자나. 소름돋을듯..	1
무겁지않게 가볍게 박수치면서 하하호호 할수있었어요	1
ebs에서 오늘 방영해주었는데 정말 재미있습니다.	1
안토니오 반데라스(가브리엘 마틴) 가 경찰이고, 극중 마피아 보스역과, 여자주인공이 부녀사이임. 모컨 프리먼(키스 리플리)와 마피아보스는 보물훔쳐 떠나고 안토니오 반데라스와(가브리엘 마틴) 여자주인공 나중에 다시 재회에서 사귐	0
나에겐 이 영화를 보기위해 써로게이트가 시급했다	0
비쥬얼에서부터 짜임새까지 빈틈없다. 감동은 덤!	1
스릴만점 재미있었어요	1
으악 재미 없다 애들도 보지 마셈	0
그냥 그러네	0
이 책을 영화로 만들기는 무리였나이렇게 원작이랑 다르고 형편없는 영화는 처음 본다	0
솔직히 재미 없다.	0
포장담당 요정ㅎㅎ 너무귀엽고 재밌었습니다! 더빙이더재밌어요!	1
ㅋㅋㅋㅋㅋㅋㅋㅋ뭐메세지전할려는거는 있어보여서3점줌ㅋㅋㅋㅋㅋ90%포르노	0
ㅋㅋㅋ 어이없어 그저 웃지요	0
아놔 이거 집에서 무서운영화인줄알고 빌려봤다가 아놔 진짜 하나도안무섭다	0
감동도 내용도 아무것도 아니다. 이거 볼 시간에 잠이나 자자!!!!	0
빅재미 큰웃음이 없다	0
야동이라도 보고 찍어라 작품성도 모르겠고 야동만도 못한 -_-	0
갠적으로 테이큰은 1이진리 2는 노잼 3는 갠찮아요 나름	1
사형수는 인간쓰레기일뿐이다.	0
아름다운 이 아침 김치년입니다	0
메이저는 진짜 스포츠계에 대작 슬램덩크한테도 안밀릴 애니라 생각되네요	1
진짜 삼류 영화. 비추. 장혁 출연 영화는 글쎄. 이 영화는 진짜 비추. 이 영화가 2002년 개봉 영화라니 어휴...	0
이번엔기대했는데 역시나네요 최근에나오는 아웃오브리치는 정보가없네요	0
배우들 연기도 멋졌으며 쓸데없는 에피소드없이 사이코패스주인공에 초점이 맞춰진 내용도 굿!마지막에 2탄도 나오는거 같던데 완전기대되는 영화!	1
꿀잼 반전을거듭하는 재밌는 영화!2편이 기대된다	1
완전 짱좋은드라마^♥^	1
'모정에 우는 두 아들'처럼 꼭 봐야 할 영화	1
ㅎㅎ 보고나서 가슴이 따뜻해져서 몇분동안 히죽히죽 미소지어졌던 영화	1
왕가위감독 최고...	1
네이버에서 기자평론 없애면 안되나 씨네21 애들은 그냥 관심받고 싶어서 난리치는 일베같은 놈들이나 별다를바 없어보인다..	1
너무 재미있게 보고있습니다~ ^^*	1
밑에 파이트클럽 써두신 분 삭제좀-0- 파이트클럽을 봐서 설마 그건가 했는데.	1
아효~~	1
이젠 하다하다 영화 제목까지 카피하네; 이와중에 관람객 평점 9점보소 ^^	0
재밌게 잘 봤습니다 상영 후 시네마토크와 gv를 통해 영화에 대한 더 깊은 이해를 도왔습니다 감사합니다	1
스토리의 부진은 액션의 재미까지 반감시킨다	0
병맛! 그지같다 진짜 왜 만들었냐?	0
기대보단 못하지만 케이블 스케일 기준 이정도면 낫 밷	0
말이 필요없다 정말로 이걸 왜이렇게 만들걸까	0
'척'하는 영화..다만 볼 것은 다이안 레인의 젋은 시절	0
간만에 좋은 영화 잘 봤습니다	1
저는 영화에 대해서 잘모르지만 두주연 연기도 뭔가 뻣뻣한 느낌이 들고 스토리도 특임팩트적이지않고 그냥 폭포없는 계곡같은느낌이였어요.그리고 재희가 머리스타일을 바꾸면서 미래와 과거가 나와서 대충알아봤지만, 딱보면 너무 뒤숭숭하게 너무 빙빙도는느낌이네요	0
이런 영화도 있음..딴건 이해되나 여배우들 신음소리 안습이다 한숨만 쉰다	0
연기력때문에 할말이 없다. 정우성과 고소영이 왜그토록 흥행작이 없는지 알고싶으면, 비트에서 연기하는거 봐라.	0
이런컨셉이면 최소한 현실성에 기반을 두는데 이건 공상을 넘어선 허상 킬링탐용도 안됨 잠이안와서 뭔가 하나라도 스킵 해가면서 보려느 목적이라도 이건 보지마소 짜증나서 잠이 깰듯 내가 이거 호주에서 봤는데 이거 다 욕했음 밑엣놈은 그저 한국까는 한국쓰레기	0
잠안올때 보면 잠 잘오겠다.	0
재발재미있게 좀 만드세요.안타깝네요.Mbc쥐어짜듯얘기를 만들지말고.정상적인내용 부탁합니다.잘만들때까지 sbs볼께요.ㅋㅋㅋ	0
산만해서 못봐주겠는 영화	0
한국 영화 발전을 위하여...	0
전우치 완전 연기도잘하시고,정말 짱이에요.차태현님 정말 짱입니다요.2회 남았지만 계속 열심히 연기해주세요.오도일이관지!!!♥	1
직쏘게임 속과 그 바깥에서 투트랙으로 전개되는 이야기구조를 스릴있게 잘 살렸다. 역시 기계장치 살인게임은 데스티네이션과 쏘우밖에 떠오르지 않는다.	1
저렇게 섬세한 연기를	1
남자배우넘싸랑해요!!!연기력넘좋아요~♥♥♥	1
공포영화 퀄러티가 좋고 무섭고 인기가 너무 좋다...대단하다...대단해;;	1
0점은 없네 아쉽다	0
최고의 영화 탄탄한 시나리오	1
뻔한것같지만 매회볼때마다 응원하게되고 손에 땀을쥐게 만든다.배우분들의 연기는 말할것도없이 짱~~진정한 빅맨이 되길..	1
이 영화는 놀란의 다른 작품들을 모두 보고 난 후 보는것을 추천한다. 이 영화를 보는 순간 다른 영화들이 달라보일것이다. 놀란은 천재다	1
3시의결투 표절영화	0
솔직히 말해서 시즌2가 전편다 재미있고시즌3 유세윤편빼고 전부 형편없다	0
액션도 좋고 멋있고 볼만합니다!!	1
이완땜에ㅋㅋㅋ	1
꼬마들의 사랑이기~넘 잼있어요^^	1
외국영화보면서 운적은 처음이네요ㅜㅜ	1
내가 페임 리메이크작을 본 건지 MTV 오락 쇼를 본 건지 알 수가 없다.	0
아련 아련 아련....	1
역시 애국가는 1절만 했어야 지루함이 없다	0
이런 쟝르와 배우 정우성 그리고 감독 김지운이 좋다. 한 마디로 내 취향!	1
오리지날이 레전드인 이유를 입증해준다.	0
대체; 왜 맨날 해주냐 보는 시간이 아깝다	0
넘 잼있어요~ 이번주도 기대됩니당~~^^	1
